Attack type,Attack vector,Improper network segmentation,Number of users affected,Impact on data,Level of digital intensity,Organisation size,Inappropriate remote access,Absence of encryption,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
2,3,0,80,2,2,0,0,0,1,Insider or Physical theft
1,4,1,126,1,3,1,1,1,1,Phisher
1,3,0,41,2,2,0,0,2,1,Unknown
3,5,0,346,2,0,0,0,2,1,Unknown
2,3,0,248,2,2,0,0,2,1,Insider or Physical theft
0,5,0,346,0,3,3,0,2,1,Cybercriminal group
3,5,0,346,0,3,3,0,2,1,Unknown
3,5,1,251,2,2,0,1,1,1,Unknown
0,9,0,346,0,1,1,0,2,1,Cybercriminal group
3,5,1,239,2,2,0,1,1,1,Unknown
0,5,1,346,2,0,2,1,2,1,Cybercriminal group
2,3,0,346,2,0,1,0,2,1,Insider or Physical theft
1,5,0,346,0,0,3,0,2,1,Script kiddie or Hacker
0,9,0,346,1,1,0,0,2,1,Cybercriminal group
0,5,2,8,0,2,2,0,2,0,Cybercriminal group
1,4,0,346,2,2,3,0,2,1,Phisher
3,5,0,136,1,0,0,0,2,1,Unknown
3,5,1,346,0,2,0,1,1,1,Unknown
0,2,0,346,0,3,1,0,2,1,Unknown
0,5,1,346,0,2,3,1,1,1,Cybercriminal group
0,5,1,346,0,1,0,1,1,1,Cybercriminal group
0,2,0,346,0,3,1,0,2,1,Cybercriminal group
3,5,0,346,0,3,0,2,2,1,Unknown
3,5,0,129,0,2,0,0,2,1,Unknown
0,4,0,194,2,1,0,2,2,1,Unknown
2,3,0,346,2,2,1,0,2,1,Insider or Physical theft
0,5,0,346,0,3,1,0,2,1,Unknown
1,9,0,119,0,2,0,0,2,1,Third-party
0,5,1,346,2,0,2,0,2,1,Cybercriminal group
0,9,0,346,0,3,1,0,2,1,Unknown
2,3,0,79,2,0,0,0,0,1,Unknown
2,3,0,346,2,2,1,0,2,1,Insider or Physical theft
3,5,1,12,2,2,0,1,1,1,Unknown
3,7,1,145,1,2,3,1,1,1,Unknown
3,5,1,336,2,2,0,1,2,1,Unknown
1,2,0,346,2,3,1,2,2,1,Unknown
0,5,2,99,0,2,2,0,2,0,Cybercriminal group
3,1,2,346,0,0,2,1,2,1,Unknown
3,5,2,346,1,0,0,2,2,1,Unknown
0,5,1,346,0,2,3,1,2,0,Cybercriminal group
1,5,1,186,0,0,1,1,1,1,Unknown
2,3,0,142,1,2,0,0,0,1,Insider or Physical theft
1,4,2,156,2,2,0,0,2,1,Phisher
2,3,0,230,0,0,3,0,2,1,Insider or Physical theft
0,5,0,64,2,2,0,0,2,1,Unknown
2,3,0,167,2,0,0,0,0,1,Insider or Physical theft
3,4,1,346,2,1,1,1,2,1,Phisher
3,5,2,346,2,0,0,2,2,1,Unknown
0,5,1,87,0,2,3,1,1,0,Cybercriminal group
3,5,2,346,2,2,0,0,2,1,Unknown
3,5,2,346,2,2,0,0,2,1,Unknown
1,3,0,158,0,3,0,0,2,1,Unknown
4,8,0,230,2,2,3,0,2,1,Unknown
3,5,0,203,2,2,0,0,2,1,Unknown
3,5,0,203,1,2,0,0,2,1,Unknown
1,0,0,346,0,2,3,0,0,1,Unknown
3,5,0,346,2,1,1,0,2,1,Unknown
2,3,0,346,1,2,3,0,1,1,Insider or Physical theft
2,3,0,346,2,0,3,0,2,1,Insider or Physical theft
1,4,0,346,2,3,1,0,2,1,Phisher
3,5,0,277,0,3,1,0,2,1,Unknown
0,5,1,346,0,3,3,1,1,0,Cybercriminal group
3,9,1,346,0,0,3,1,1,1,Unknown
3,4,0,346,2,0,0,0,2,1,Phisher
3,5,2,294,2,3,0,1,2,1,Unknown
3,4,1,148,2,2,0,1,2,1,Phisher
1,9,2,346,0,3,3,0,2,1,Third-party
0,5,2,346,2,3,2,0,2,1,Unknown
3,4,1,346,2,1,0,1,2,1,Phisher
0,5,1,346,0,1,0,1,1,1,Cybercriminal group
3,7,1,291,1,0,0,1,1,1,Unknown
4,4,2,346,1,0,3,2,0,1,Unknown
1,1,2,75,0,0,1,0,2,1,Unknown
3,7,2,43,2,2,3,0,2,1,Script kiddie or Hacker
3,5,0,346,1,3,3,2,1,1,Unknown
1,7,1,236,0,3,3,1,1,1,Unknown
1,4,0,346,2,2,0,0,2,1,Phisher
3,5,2,346,0,0,0,1,2,1,Script kiddie or Hacker
3,5,0,346,0,0,0,0,1,1,Unknown
3,5,2,345,1,0,3,0,2,1,Unknown
2,9,0,346,2,3,0,0,1,1,Insider or Physical theft
1,5,2,346,2,0,0,0,2,1,Unknown
0,9,0,346,0,1,3,0,2,1,Cybercriminal group
3,5,0,346,1,0,1,0,2,1,Unknown
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
0,4,1,229,2,3,0,1,1,1,Unknown
2,3,0,346,2,0,0,0,2,1,Insider or Physical theft
1,2,0,22,1,3,0,0,0,1,Unknown
3,5,1,67,0,3,1,1,1,1,Unknown
3,5,1,183,1,0,1,1,2,1,Unknown
3,5,0,346,0,0,1,0,0,1,Unknown
2,3,0,346,2,2,2,0,2,1,Insider or Physical theft
0,4,2,346,0,2,0,0,2,0,Cybercriminal group
3,5,1,346,0,1,0,1,2,1,Unknown
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
2,5,0,148,2,0,0,0,2,1,Insider or Physical theft
1,9,1,39,2,0,0,1,1,1,Unknown
2,3,0,18,1,0,3,0,2,1,Insider or Physical theft
0,2,0,202,0,2,1,0,2,1,Cybercriminal group
2,3,0,346,2,3,0,0,2,1,Insider or Physical theft
0,2,1,346,2,3,0,0,1,1,Cybercriminal group
0,5,0,188,0,2,0,0,2,1,Cybercriminal group
1,9,1,346,0,2,1,1,1,1,Third-party
0,5,1,249,0,0,1,0,1,1,Unknown
3,5,2,346,2,2,0,0,2,1,Unknown
3,5,1,346,2,2,0,1,1,1,Unknown
0,1,1,346,0,2,3,1,2,0,Cybercriminal group
2,3,1,336,2,2,3,0,2,1,Insider or Physical theft
2,3,0,346,1,2,3,0,2,1,Insider or Physical theft
2,3,1,134,1,2,3,1,2,1,Insider or Physical theft
2,3,1,82,2,2,0,0,2,1,Insider or Physical theft
2,3,0,295,2,3,0,0,1,1,Insider or Physical theft
1,0,1,106,2,1,0,1,1,1,Unknown
3,5,2,113,2,2,0,0,2,1,Unknown
0,2,1,346,0,3,0,1,2,1,Unknown
3,5,2,346,2,0,1,0,2,1,Unknown
3,5,1,45,1,3,0,0,1,1,Unknown
3,5,1,346,1,1,3,1,1,1,Unknown
1,4,1,346,1,0,1,1,2,1,Phisher
3,5,1,127,1,3,0,1,2,1,Unknown
2,3,1,346,2,0,2,0,2,1,Insider or Physical theft
3,5,2,346,0,2,2,0,2,1,Unknown
0,5,1,346,0,1,0,1,1,1,Cybercriminal group
0,5,1,346,0,1,0,1,2,1,Cybercriminal group
3,7,0,346,2,2,3,0,2,1,Unknown
1,0,0,346,2,3,0,0,2,1,Unknown
1,9,1,346,1,3,0,1,2,1,Unknown
1,5,1,346,1,0,1,1,2,1,Unknown
3,5,1,134,2,3,0,1,1,1,Unknown
3,5,0,152,1,2,0,2,2,1,Unknown
2,3,0,272,2,2,0,0,2,1,Insider or Physical theft
0,9,1,346,0,2,1,1,1,1,Cybercriminal group
2,9,0,89,2,2,0,0,2,1,Insider or Physical theft
3,5,1,346,2,2,0,1,2,1,Unknown
3,5,0,346,2,0,0,2,2,1,Unknown
1,4,1,346,2,2,0,1,2,1,Phisher
3,5,1,149,0,2,0,1,1,1,Unknown
0,5,2,99,0,2,2,0,2,0,Cybercriminal group
3,6,2,346,1,2,0,0,2,1,Unknown
3,6,2,110,2,2,0,0,2,1,Unknown
3,7,1,346,2,2,0,1,1,1,Unknown
2,3,1,346,2,2,0,1,2,1,Insider or Physical theft
0,5,1,217,2,0,0,1,2,1,Cybercriminal group
4,5,1,346,1,3,0,1,1,1,Unknown
0,5,1,346,1,1,0,1,2,1,Cybercriminal group
0,4,2,346,1,0,0,0,2,1,Unknown
0,4,2,346,1,0,0,0,0,1,Unknown
1,4,0,73,2,2,1,2,2,1,Phisher
3,5,1,346,1,2,0,1,1,1,Unknown
1,4,0,346,2,1,3,0,2,1,Phisher
2,3,0,346,1,2,2,0,2,1,Insider or Physical theft
2,3,0,323,2,2,2,0,2,1,Insider or Physical theft
2,3,0,323,2,2,2,0,2,1,Insider or Physical theft
2,3,0,346,2,2,2,0,2,1,Insider or Physical theft
0,5,0,346,2,2,3,0,0,1,Unknown
3,7,1,286,2,2,0,1,1,1,Script kiddie or Hacker
1,5,1,51,2,2,0,0,1,1,Unknown
2,3,0,117,1,3,0,0,2,1,Insider or Physical theft
0,5,2,346,0,2,0,0,2,1,Nation-state actor
3,5,1,224,1,2,0,1,1,1,Unknown
3,5,1,275,2,2,0,1,1,1,Unknown
3,5,1,149,1,2,0,1,1,1,Unknown
2,3,0,0,2,2,2,0,2,1,Insider or Physical theft
0,5,1,230,1,1,0,1,2,1,Cybercriminal group
1,5,1,181,1,2,1,1,1,1,Unknown
0,5,2,99,0,2,3,0,2,0,Cybercriminal group
3,5,2,346,1,0,0,0,2,1,Unknown
1,5,1,346,1,0,0,1,1,1,Unknown
0,2,0,202,0,3,0,0,2,1,Unknown
3,7,0,346,0,0,0,0,2,1,Unknown
3,7,2,255,2,2,1,0,2,1,Script kiddie or Hacker
4,5,2,346,1,3,2,0,2,1,Unknown
1,5,2,346,2,0,3,0,2,1,Unknown
2,3,0,346,2,2,3,0,2,1,Insider or Physical theft
2,3,0,346,1,2,0,0,2,1,Insider or Physical theft
2,3,1,346,1,2,0,1,2,1,Insider or Physical theft
0,5,1,346,1,0,0,1,2,1,Unknown
2,3,0,226,2,2,0,0,2,1,Insider or Physical theft
3,5,0,346,2,3,0,0,0,1,Unknown
2,3,0,104,2,2,0,0,2,1,Insider or Physical theft
3,5,2,321,2,3,0,0,2,1,Unknown
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
0,5,2,173,2,2,0,0,2,1,Unknown
2,3,0,64,2,2,3,0,0,1,Insider or Physical theft
2,3,0,346,2,2,1,0,2,1,Insider or Physical theft
0,5,2,346,0,3,1,2,2,1,Cybercriminal group
3,5,2,346,0,0,1,2,2,1,Unknown
0,5,2,346,0,3,3,2,2,1,Cybercriminal group
3,5,2,346,2,0,3,2,2,1,Unknown
0,7,0,277,0,1,0,0,2,1,Cybercriminal group
2,3,0,302,2,2,0,0,2,1,Insider or Physical theft
0,7,2,141,0,2,0,0,2,0,Cybercriminal group
2,3,0,346,2,2,0,0,0,1,Insider or Physical theft
3,5,1,346,2,0,0,1,1,1,Unknown
2,3,0,346,2,2,0,0,0,1,Insider or Physical theft
0,5,1,346,1,3,1,1,1,1,Cybercriminal group
3,5,2,202,2,2,1,0,2,1,Unknown
3,5,1,346,0,1,1,0,2,1,Unknown
3,5,0,346,0,3,1,0,2,1,Unknown
0,5,1,346,0,0,1,1,2,1,Unknown
3,5,1,157,0,3,2,1,1,1,Unknown
3,5,1,346,1,0,1,0,2,1,Unknown
3,9,0,346,2,0,2,0,0,1,Third-party
3,5,2,124,2,0,1,0,2,1,Unknown
3,5,1,346,0,1,0,2,1,1,Unknown
3,5,1,346,0,1,1,1,1,1,Unknown
3,5,2,237,2,2,1,0,2,1,Unknown
3,9,2,346,2,2,3,0,2,1,Unknown
1,3,0,346,0,0,3,0,1,1,Unknown
0,5,2,346,1,1,0,1,1,1,Unknown
2,3,0,302,1,2,0,0,2,1,Insider or Physical theft
3,9,1,346,1,0,0,1,1,1,Third-party
3,5,1,296,2,3,3,0,2,1,Unknown
1,4,2,346,2,0,0,0,2,1,Phisher
0,4,1,346,1,0,0,1,1,1,Cybercriminal group
2,9,0,346,1,3,0,0,0,1,Insider or Physical theft
2,9,0,346,2,2,3,0,2,1,Insider or Physical theft
3,5,2,2,1,0,3,1,2,1,Unknown
3,5,1,346,2,2,3,1,1,1,Unknown
2,3,0,346,2,0,1,0,0,1,Insider or Physical theft
2,3,0,346,1,3,0,0,2,1,Insider or Physical theft
3,5,1,346,2,0,1,1,1,1,Unknown
3,5,1,346,2,1,2,1,1,1,Unknown
0,7,2,346,0,1,0,0,2,0,Cybercriminal group
1,4,2,346,2,0,0,0,2,1,Phisher
3,5,1,252,0,1,0,1,1,1,Unknown
0,5,2,346,2,0,3,0,2,1,Cybercriminal group
3,5,1,346,0,3,1,1,1,1,Unknown
3,5,1,346,0,3,3,1,1,1,Unknown
0,5,2,0,0,2,2,0,2,0,Cybercriminal group
3,5,1,29,1,3,1,1,1,1,Unknown
0,5,2,346,2,3,2,0,2,1,Cybercriminal group
3,5,0,278,0,3,3,0,2,1,Unknown
3,5,1,18,0,0,0,1,2,1,Unknown
4,4,0,346,0,0,1,0,0,1,Unknown
3,5,1,344,0,2,1,0,2,1,Unknown
4,5,2,346,1,3,3,0,2,1,Unknown
0,5,2,46,0,2,2,0,2,0,Cybercriminal group
1,9,1,120,0,2,2,1,1,1,Third-party
3,9,0,35,2,2,0,0,2,1,Script kiddie or Hacker
2,3,0,184,2,2,3,0,0,1,Insider or Physical theft
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
2,9,0,346,2,2,0,0,0,1,Insider or Physical theft
2,3,1,73,0,1,0,1,1,1,Insider or Physical theft
3,2,1,0,0,0,0,1,1,1,Unknown
3,7,1,274,2,2,0,0,1,1,Script kiddie or Hacker
0,5,2,5,0,2,1,0,2,0,Cybercriminal group
3,5,1,222,0,0,0,1,2,1,Unknown
0,8,1,346,0,3,1,0,2,1,Cybercriminal group
3,5,1,173,1,2,0,1,2,1,Unknown
1,9,2,34,1,2,0,0,2,1,Unknown
1,4,0,346,2,2,2,0,2,1,Phisher
3,7,1,4,1,3,0,1,2,1,Unknown
4,9,1,346,2,0,2,0,2,1,Third-party
0,5,2,346,0,1,3,0,2,1,Cybercriminal group
3,7,1,346,0,1,0,0,2,1,Unknown
2,3,0,346,1,2,0,0,2,1,Insider or Physical theft
0,2,0,346,0,3,1,0,2,1,Cybercriminal group
3,5,1,65,0,0,0,1,1,1,Unknown
3,5,0,346,2,1,1,0,2,1,Unknown
3,1,1,346,2,3,0,1,0,1,Unknown
0,7,2,346,2,2,2,0,2,1,Cybercriminal group
0,8,2,346,0,1,1,0,2,1,Cybercriminal group
3,4,1,109,2,2,0,1,2,1,Phisher
1,4,1,346,1,2,1,1,2,1,Phisher
2,9,0,245,2,0,0,0,2,1,Insider or Physical theft
2,3,0,346,2,1,0,0,2,1,Insider or Physical theft
3,5,1,346,1,0,3,0,2,1,Unknown
3,5,1,346,0,1,0,0,1,1,Unknown
2,3,0,346,2,2,1,0,2,1,Insider or Physical theft
0,2,0,346,0,1,3,0,2,1,Cybercriminal group
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
3,5,0,346,0,2,0,0,2,1,Unknown
1,4,1,346,2,1,0,1,2,1,Phisher
2,3,0,346,2,2,2,0,2,1,Insider or Physical theft
0,2,0,346,0,3,0,0,2,1,Unknown
1,5,1,229,1,2,2,1,1,1,Unknown
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
3,5,1,166,2,0,1,1,2,1,Unknown
1,4,1,269,2,2,1,1,2,1,Script kiddie or Hacker
3,5,1,157,0,3,0,1,2,1,Unknown
3,4,2,346,2,2,0,0,2,1,Phisher
0,5,1,346,0,1,0,1,2,1,Cybercriminal group
1,9,1,346,0,1,0,1,2,1,Script kiddie or Hacker
3,5,2,254,2,3,0,0,2,1,Unknown
3,5,2,346,0,2,0,0,2,1,Unknown
0,5,1,346,0,1,2,0,2,1,Cybercriminal group
0,4,2,346,1,0,0,0,2,1,Unknown
3,5,1,346,0,0,0,1,2,1,Unknown
3,9,2,346,0,0,0,1,2,1,Script kiddie or Hacker
1,4,1,54,2,2,0,1,2,1,Phisher
3,5,2,47,0,2,0,0,2,1,Unknown
1,1,1,346,1,0,0,1,2,1,Unknown
3,4,1,133,2,2,0,1,2,1,Phisher
0,5,2,14,2,2,0,0,2,1,Cybercriminal group
3,5,1,40,2,2,1,1,1,1,Unknown
3,5,0,232,0,3,0,0,2,1,Unknown
0,5,1,134,2,2,0,0,2,1,Unknown
0,5,2,288,0,2,1,0,2,0,Cybercriminal group
3,5,2,137,0,3,0,0,2,1,Unknown
3,5,0,138,0,3,0,0,2,1,Unknown
0,5,1,346,0,2,0,1,2,1,Cybercriminal group
3,7,1,38,2,2,0,1,2,1,Unknown
3,5,2,346,0,1,0,0,2,1,Unknown
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
3,5,1,315,2,2,0,2,2,1,Unknown
2,3,0,346,2,3,0,0,2,1,Insider or Physical theft
3,5,1,129,0,1,0,0,2,1,Unknown
1,4,0,346,2,3,0,0,2,1,Phisher
1,9,1,346,2,2,3,1,1,1,Script kiddie or Hacker
3,5,1,221,1,0,0,1,1,1,Unknown
3,9,2,52,2,0,0,0,2,1,Script kiddie or Hacker
3,5,1,346,0,3,1,1,1,1,Unknown
3,5,1,233,1,0,1,0,2,1,Unknown
3,7,1,121,2,2,0,0,2,1,Unknown
1,4,1,346,2,0,0,1,1,1,Phisher
3,9,1,1,0,3,0,1,2,1,Unknown
0,7,2,265,0,3,1,0,0,1,Unknown
3,5,1,43,2,3,0,0,1,1,Unknown
3,5,1,346,2,2,2,1,1,1,Unknown
2,3,0,271,2,3,0,0,2,1,Insider or Physical theft
2,3,0,245,2,2,0,0,2,1,Insider or Physical theft
1,0,0,16,0,0,1,0,2,1,Unknown
0,5,2,346,0,2,2,0,2,0,Cybercriminal group
3,4,1,346,2,2,0,1,1,1,Phisher
3,5,1,36,2,0,0,1,1,1,Unknown
3,5,1,338,2,2,1,0,2,1,Unknown
3,5,1,195,1,2,0,1,1,1,Unknown
1,4,1,195,2,2,0,0,2,1,Phisher
2,3,1,195,2,2,0,0,2,1,Unknown
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
2,3,0,346,2,0,1,0,0,1,Insider or Physical theft
2,3,0,346,2,2,2,0,2,1,Insider or Physical theft
2,3,0,346,2,2,1,0,2,1,Insider or Physical theft
2,3,0,346,1,2,3,0,1,1,Insider or Physical theft
0,5,1,196,1,2,0,1,1,1,Cybercriminal group
0,6,2,346,0,2,2,0,2,0,Cybercriminal group
0,2,2,346,0,3,1,2,2,1,Cybercriminal group
3,5,2,346,1,3,1,2,2,1,Unknown
4,8,0,346,1,3,0,0,1,1,Unknown
0,2,2,346,0,1,0,2,2,1,Unknown
3,5,1,346,0,3,1,1,2,1,Unknown
2,3,1,202,2,2,1,0,2,1,Insider or Physical theft
1,4,2,23,2,2,0,0,2,1,Phisher
3,5,2,65,2,2,0,0,2,1,Unknown
2,0,0,55,2,3,0,0,2,1,Unknown
3,5,1,346,2,2,2,1,1,1,Unknown
3,4,1,346,1,0,0,1,1,1,Phisher
3,5,1,346,1,0,0,1,1,1,Unknown
3,5,1,346,2,1,0,1,1,1,Unknown
1,5,2,221,1,0,0,1,1,1,Unknown
3,7,2,258,2,2,0,0,2,1,Script kiddie or Hacker
3,5,1,136,0,3,0,1,2,1,Unknown
3,5,1,289,0,3,0,1,2,1,Unknown
0,5,2,224,2,3,0,0,2,1,Cybercriminal group
1,9,2,346,2,3,0,0,2,1,Third-party
1,5,1,182,2,3,0,1,1,1,Unknown
1,5,1,61,2,2,0,1,1,1,Unknown
1,9,1,317,2,2,3,1,1,1,Script kiddie or Hacker
4,4,1,346,1,0,3,1,1,1,Phisher
2,3,0,242,1,2,1,0,1,1,Insider or Physical theft
0,7,1,346,0,0,3,1,1,1,Cybercriminal group
0,7,2,346,0,0,3,0,2,1,Cybercriminal group
0,8,1,346,0,3,3,1,1,1,Cybercriminal group
1,0,0,296,0,3,1,0,0,1,Unknown
0,5,1,346,0,3,0,1,1,1,Cybercriminal group
0,5,2,346,2,0,3,0,2,1,Unknown
2,3,0,346,1,2,2,0,2,1,Insider or Physical theft
2,3,0,305,2,2,3,0,2,1,Insider or Physical theft
3,7,2,205,1,2,0,1,2,1,Unknown
2,3,0,153,2,2,0,0,2,1,Insider or Physical theft
0,5,1,172,0,2,3,1,1,0,Cybercriminal group
0,5,1,28,2,0,1,0,2,1,Cybercriminal group
1,5,1,346,0,0,3,1,1,1,Unknown
0,7,2,346,0,0,3,0,2,0,Cybercriminal group
1,7,1,202,2,2,2,1,1,1,Unknown
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
2,3,1,260,2,2,0,1,1,1,Insider or Physical theft
0,5,1,33,0,3,0,1,2,1,Cybercriminal group
2,3,0,339,2,1,0,0,2,1,Insider or Physical theft
0,7,1,346,0,1,0,1,1,1,Cybercriminal group
1,0,1,346,0,0,0,1,1,1,Unknown
3,7,2,346,0,2,0,0,2,1,Unknown
2,9,1,220,1,0,0,1,1,1,Insider or Physical theft
2,3,0,320,2,2,1,0,2,1,Insider or Physical theft
0,3,1,346,0,1,0,1,1,1,Unknown
3,5,1,179,1,3,0,1,1,1,Unknown
0,9,1,346,0,3,0,1,1,1,Script kiddie or Hacker
2,3,0,1,2,2,3,0,2,1,Insider or Physical theft
2,3,0,346,2,2,2,0,2,1,Insider or Physical theft
0,8,2,346,0,3,1,1,1,1,Unknown
0,7,1,346,0,1,3,1,1,1,Unknown
3,5,1,346,1,0,3,0,2,1,Unknown
3,5,2,325,0,0,1,2,2,1,Unknown
0,7,2,295,0,1,0,2,2,1,Cybercriminal group
3,5,1,304,2,0,3,1,1,1,Unknown
2,3,0,346,1,2,1,0,2,1,Insider or Physical theft
2,3,0,161,1,2,0,0,2,1,Insider or Physical theft
1,4,2,346,2,2,0,0,2,1,Phisher
1,0,0,346,0,0,0,0,0,1,Unknown
2,3,0,346,2,1,1,0,2,1,Insider or Physical theft
3,5,2,346,0,3,0,0,2,1,Unknown
3,7,1,346,1,2,2,1,1,1,Unknown
0,5,2,24,0,2,2,0,2,0,Cybercriminal group
2,3,0,81,2,2,0,0,2,1,Insider or Physical theft
2,3,0,335,2,2,0,0,2,1,Insider or Physical theft
2,3,0,346,2,2,0,0,2,1,Insider or Physical theft
0,7,2,346,0,3,0,0,2,1,Cybercriminal group
0,7,2,346,0,2,1,1,1,1,Cybercriminal group
1,4,1,346,0,2,1,0,1,1,Unknown
2,3,0,346,1,2,3,0,2,1,Insider or Physical theft
2,3,1,346,1,1,3,1,2,1,Insider or Physical theft
3,5,2,106,2,0,0,0,2,1,Unknown
3,5,1,346,2,0,3,0,2,1,Unknown
1,4,1,346,0,2,0,1,1,1,Unknown
1,4,1,346,0,0,1,1,1,1,Unknown
3,8,1,71,0,0,0,1,1,1,Unknown
1,9,0,346,2,2,0,0,0,1,Third-party
3,5,1,137,0,2,2,1,1,1,Unknown
0,9,2,19,0,3,0,2,2,1,Third-party
1,7,1,346,2,2,3,1,1,1,Unknown
1,5,2,191,1,1,1,0,2,1,Unknown
1,1,1,346,2,0,1,1,1,1,Nation-state actor
1,9,1,319,2,0,1,1,1,1,Third-party
1,5,1,262,0,0,0,0,1,1,Unknown
3,7,1,346,0,0,1,1,1,1,Unknown
3,7,1,346,0,0,3,0,2,1,Unknown
0,7,2,346,0,3,1,0,2,1,Cybercriminal group
1,9,1,346,0,3,3,1,1,1,Third-party
3,7,1,62,1,3,3,1,2,1,Unknown
0,7,1,41,0,2,3,1,1,0,Cybercriminal group
0,7,1,346,0,2,0,1,1,0,Cybercriminal group
0,5,1,346,0,3,0,1,1,1,Cybercriminal group
3,7,1,282,2,2,0,1,1,1,Unknown
1,4,1,346,2,2,0,1,1,1,Phisher
1,9,1,346,0,3,3,1,1,1,Script kiddie or Hacker
4,9,1,346,0,3,3,1,1,1,Third-party
2,3,0,346,1,2,0,0,2,1,Insider or Physical theft
2,3,0,346,2,3,0,0,2,1,Insider or Physical theft
0,5,1,346,2,1,3,0,2,1,Unknown
4,9,1,346,0,1,1,1,1,1,Script kiddie or Hacker
0,9,2,346,0,3,0,0,2,1,Cybercriminal group
3,7,1,346,0,1,1,1,1,1,Unknown
0,5,2,0,0,1,1,0,2,1,Unknown
3,7,1,346,1,2,3,1,1,1,Unknown
3,7,1,346,0,1,3,1,1,1,Unknown
0,7,2,156,0,2,2,0,0,0,Cybercriminal group
1,7,1,336,1,2,0,1,1,1,Unknown
1,1,1,346,2,2,2,2,1,1,Unknown
3,5,1,51,2,2,0,0,1,1,Unknown
1,1,1,346,2,2,1,1,1,1,Unknown
4,8,1,346,0,3,1,0,2,1,Unknown
1,4,1,346,2,2,3,1,1,1,Phisher
2,3,0,176,2,2,3,0,2,1,Unknown
0,4,0,346,1,1,0,0,2,1,Phisher
3,5,1,276,2,0,3,1,1,1,Unknown
2,0,0,346,2,0,0,0,0,1,Unknown
3,7,1,346,2,3,0,1,1,1,Unknown
1,1,0,346,2,2,0,0,1,1,Unknown
2,3,0,346,2,0,3,0,0,1,Insider or Physical theft
3,7,1,146,1,3,1,1,1,1,Unknown
0,9,1,27,0,3,0,0,2,1,Cybercriminal group
3,4,1,165,1,0,3,1,1,1,Phisher
0,7,2,334,0,3,0,0,2,1,Cybercriminal group
3,5,1,346,2,0,3,0,1,1,Unknown
0,5,2,346,0,1,0,2,2,0,Cybercriminal group
0,8,1,346,0,3,1,1,1,1,Cybercriminal group
0,5,1,346,2,0,2,0,1,1,Unknown
4,8,1,346,0,3,0,1,1,1,Unknown
1,4,1,346,1,2,0,1,1,1,Phisher
1,4,0,346,1,0,1,0,2,1,Phisher
2,3,0,137,0,0,3,0,2,1,Insider or Physical theft
1,5,2,95,2,3,0,0,1,1,Unknown
1,1,2,346,0,3,1,2,2,1,Unknown
1,1,0,346,2,2,0,0,0,1,Unknown
0,3,0,346,0,0,0,0,2,1,Unknown
4,8,1,346,0,3,3,1,1,1,Unknown
1,5,1,346,1,3,0,0,1,1,Unknown
1,4,1,346,1,0,2,1,1,1,Phisher
0,9,1,346,0,1,0,1,1,1,Cybercriminal group
3,9,2,10,2,2,0,0,2,1,Unknown
3,7,1,346,0,3,1,1,1,1,Unknown
1,7,1,228,0,3,3,1,2,1,Unknown
4,7,2,346,1,2,0,1,1,1,Unknown
3,7,1,346,1,3,3,1,1,1,Unknown
1,7,2,135,1,0,0,0,1,1,Unknown
2,3,0,346,2,2,0,0,0,1,Insider or Physical theft
3,4,2,167,2,3,0,0,2,1,Unknown
3,7,2,137,2,3,0,0,2,1,Unknown
3,7,1,7,2,3,0,0,1,1,Unknown
2,3,0,140,2,3,0,0,2,1,Insider or Physical theft
3,1,1,250,2,1,0,2,1,1,Unknown
1,7,1,346,1,3,0,0,0,1,Unknown
4,2,2,90,1,0,3,0,2,1,Unknown
2,3,0,223,2,0,0,0,2,1,Unknown
3,7,1,346,2,0,1,0,0,1,Unknown
2,3,0,128,1,2,0,0,0,1,Insider or Physical theft
1,4,1,346,1,0,1,1,1,1,Unknown
3,4,1,318,2,0,0,1,1,1,Phisher
2,3,0,346,1,1,3,0,2,1,Insider or Physical theft
0,8,1,346,0,2,1,1,1,1,Cybercriminal group
3,7,1,346,1,1,0,1,1,1,Unknown
2,3,0,48,2,2,0,0,2,1,Insider or Physical theft
1,4,0,52,2,2,0,2,0,1,Phisher
1,9,1,51,2,2,3,1,1,1,Script kiddie or Hacker
4,7,2,346,0,3,0,0,2,0,Unknown
3,7,1,295,1,2,0,1,1,1,Unknown
0,7,2,346,0,2,1,0,2,0,Cybercriminal group
1,1,1,346,2,2,0,1,1,1,Unknown
3,2,2,296,2,2,0,0,2,1,Unknown
1,2,0,296,2,2,0,0,0,1,Unknown
1,4,0,64,0,2,0,0,0,1,Phisher
2,3,0,343,2,2,0,0,2,1,Unknown
2,3,0,301,2,2,0,0,2,1,Insider or Physical theft
3,5,1,346,2,2,0,1,2,1,Unknown
4,2,1,74,2,2,0,0,1,1,Script kiddie or Hacker
2,3,0,340,2,2,0,0,2,1,Insider or Physical theft
