Critical Industry,Organisation size,Level of digital intensity,Cyber security role,Cyber security frameworks,Improper network segmentation,Inappropriate remote access,Absence of encryption,Number of users affected,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
No,Large,Low-Medium,No,No,No,No,Yes,400000,,External,,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,No,Yes,400000,,External,,Low,Confidentiality,Unknown
Yes,,Low-Medium,No,No,No,No,No,Missing,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Unknown
Yes,Medium,Low,No,No,No,No,Yes,Missing,,External,,Medium,Confidentiality,Unknown
Yes,,Low-Medium,No,No,No,No,,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
No,,High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Medium,Medium-High,No,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Medium,Medium-High,No,No,No,No,Yes,7000000,,External,,High,Confidentiality,Unknown
Yes,,Medium-High,No,No,,,,Missing,Installed malware,External,,High,Availability,Cybercriminal group
Yes,,High,No,No,,,,Missing,,External,Vendor vulnerability,High,Confidentiality,Unknown
Yes,Large,High,No,No,No,No,Yes,Missing,,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,Medium-High,Yes,No,Yes,,Yes,8000,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,Yes,28000,,External,Social engineering,Medium,Confidentiality,Phisher
No,,Medium-High,No,No,Yes,No,Yes,Missing,Misuse of resources,External,Vendor vulnerability,High,Confidentiality,Third-party
No,Small,Medium-High,No,No,Yes,No,Yes,Missing,Installed malware,External,,Medium,Confidentiality,Unknown
Yes,Large,Low,No,No,,,Yes,Missing,,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,Low,No,No,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Large,High,No,No,,,,79000,,External,Unknown network attack,Low,Confidentiality,Unknown
Yes,,High,No,No,Yes,Yes,No,Missing,Web compromise,External,Social engineering,Low,Confidentiality,Unknown
No,Medium,High,No,No,Yes,No,Yes,1600000,Misuse of resources,External,Insufficient authentication validation,High,Confidentiality,Unknown
Yes,,Low-Medium,No,No,Yes,No,Yes,1300000,,External,Unknown network attack,Medium,Confidentiality,Script kiddie or Hacker
Yes,,Medium-High,No,No,No,Yes,,Missing,,External,,Low,Confidentiality,Unknown
No,,Medium-High,No,No,,,,51000,Misuse of resources,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,High,No,No,Yes,,Yes,Missing,,External,,High,Confidentiality,Script kiddie or Hacker
No,Large,High,No,No,No,No,,Missing,,External,,High,Confidentiality,Unknown
No,,High,No,No,Yes,No,Yes,All records,,External,,Low,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,No,No,,Missing,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,Yes,No,Yes,Missing,Misuse of resources,External,,Medium,Confidentiality,Unknown
Yes,,Low,No,No,No,No,Yes,Missing,Installed malware,External,Vendor vulnerability,High,Confidentiality,Cybercriminal group
Yes,Medium,High,No,No,No,No,Yes,Missing,,External,,Low,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Medium-High,No,No,,,,5000,Installed malware,External,Social engineering,Medium,Confidentiality,Unknown
No,Large,High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Medium-High,No,No,No,No,No,112000,Misuse of resources,Internal,Insufficient input validation,Low,Confidentiality,Unknown
No,Medium,Medium-High,No,No,,,,150000000,,External,,High,Confidentiality,Unknown
Yes,Medium,High,No,No,,,Yes,360000000,,External,,Low,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,No,Missing,,External,,High,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,Yes,No,Yes,No,Yes,Missing,Installed malware,External,Social engineering,High,Availability,Cybercriminal group
Yes,Large,Low,No,No,,,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,High,No,No,No,No,Yes,28000,Physical Theft,External,,Medium,Confidentiality,Insider or Physical theft
No,Large,High,No,No,,,,1270000,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Unknown
Yes,,High,No,No,No,No,Yes,11000000,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
No,Medium,Low-Medium,No,No,No,No,Yes,40000,Installed malware,External,Insufficient input validation,High,Confidentiality,Cybercriminal group
No,Large,Medium-High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Medium-High,No,No,,No,,Missing,Installed malware,External,Insufficient input validation,Medium,Confidentiality,Cybercriminal group
No,Large,Low-Medium,No,No,No,No,Yes,370000,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Medium,Low-Medium,No,No,,,,Missing,Misuse of resources,External,Vendor vulnerability,High,Confidentiality,Third-party
Yes,Medium,High,No,No,,No,,573000,Installed malware,External,,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,Yes,Missing,,External,,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,,Missing,,External,,Medium,Confidentiality,Unknown
Yes,,Low-Medium,No,No,,,Yes,Missing,Installed malware,External,Insufficient authentication validation,High,Availability,Cybercriminal group
Yes,,Low-Medium,No,No,,No,Yes,9500,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,,Low-Medium,No,No,,,Yes,25000,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,,No,Yes,1700000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Medium-High,No,No,No,No,,80000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low,No,No,,,,2000000,Misuse of resources,External,Inappropriate use of privilege,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,Yes,21880,,External,,Medium,Confidentiality,Unknown
No,Large,Medium-High,Yes,No,,,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Unknown
No,Medium,High,No,No,Yes,No,Yes,Missing,,External,,Medium,Confidentiality,Unknown
No,Large,Medium-High,No,No,,No,,13200000,,External,,Low,Confidentiality,Unknown
Yes,,Low,No,No,,,,Missing,,External,,Low,Confidentiality,Unknown
Yes,Medium,High,No,No,,,Yes,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
No,Large,Medium-High,No,No,,,Yes,23926,,External,,Low,Confidentiality,Unknown
Yes,Small,High,No,No,,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Small,Low-Medium,No,No,Yes,No,Yes,Missing,,External,,High,Confidentiality,Unknown
No,Large,Low,No,No,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Large,Low,No,No,,,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,,Low-Medium,No,No,No,No,Yes,Missing,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Large,Medium-High,No,No,No,No,Yes,Missing,Misuse of resources,External,Inappropriate use of privilege,Medium,Confidentiality,Unknown
No,Large,Medium-High,No,No,,,Yes,Missing,Misuse of resources,External,Vendor vulnerability,Low,Confidentiality,Unknown
Yes,Medium,High,No,No,,,Yes,Missing,Misuse of resources,External,,Low,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,,,,25000,,External,,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,Yes,Yes,290800,,External,,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,69246,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Medium,Low-Medium,No,No,,,,Missing,Installed malware,External,Vendor vulnerability,High,Confidentiality,Cybercriminal group
Yes,Large,Low-Medium,No,No,No,No,Yes,18000,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,Yes,No,,,Yes,Missing,,External,,Medium,Confidentiality,Unknown
No,Large,High,Yes,No,No,Yes,Yes,Missing,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,,,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,Low-Medium,No,No,,,,280000,,External,,High,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,Yes,No,Yes,19203,Installed malware,External,,High,Availability,Cybercriminal group
No,Large,Low-Medium,No,No,Yes,No,Yes,Missing,,External,Unknown device attack,Low,Confidentiality,Unknown
No,Large,Low-Medium,No,No,Yes,No,Yes,21500,,External,Unknown device attack,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,,Missing,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,,,Yes,45000,Installed malware,External,,Medium,Confidentiality,Cybercriminal group
Yes,Large,Medium-High,No,No,,,,Missing,Web compromise,External,,Low,Confidentiality,Unknown
Yes,Large,Low,No,No,,,Yes,Missing,Installed malware,External,,Low,Confidentiality,Cybercriminal group
No,Large,High,No,No,Yes,No,Yes,Missing,Installed malware,External,Social engineering,Low,Confidentiality,Unknown
No,Large,High,No,No,Yes,No,No,Missing,Installed malware,External,Social engineering,Low,Confidentiality,Unknown
No,Medium,Low-Medium,No,No,No,Yes,Yes,16000,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,Low-Medium,No,No,,,,Missing,,External,,Low,Confidentiality,Unknown
Yes,,Low,No,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Small,Low-Medium,No,No,No,No,Yes,8900,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Small,Low-Medium,No,No,No,No,Yes,8900,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,,Low-Medium,No,No,No,No,No,Missing,Installed malware,External,,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,,760000,,External,Unknown network attack,Medium,Confidentiality,Script kiddie or Hacker
No,Large,Low-Medium,No,No,,No,,14000,Misuse of resources,External,,Medium,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,No,No,Yes,225000,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
No,Large,Low-Medium,Yes,No,Yes,No,Yes,Missing,Installed malware,External,,High,Confidentiality,Nation-state actor
Yes,Large,Low-Medium,No,No,,,,47000,,External,,Low,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,,70000,,External,,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,,280000,,External,,Low,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,No,No,Yes,10000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low,No,No,,,Yes,50000,Installed malware,External,,Low,Confidentiality,Cybercriminal group
Yes,Medium,Low-Medium,No,No,,,,360000,Misuse of resources,External,,Low,Confidentiality,Unknown
Yes,,Low-Medium,No,No,Yes,No,Yes,19203,Installed malware,External,,High,Availability,Cybercriminal group
Yes,Large,High,No,No,Yes,No,Yes,Missing,,External,,Low,Confidentiality,Unknown
Yes,Large,High,No,No,,,,Missing,Misuse of resources,External,,Low,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,No,No,Yes,40000,Installed malware,External,Insufficient input validation,High,Confidentiality,Unknown
Yes,Large,High,Yes,No,No,No,Yes,Missing,,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,Yes,No,Yes,60582,,External,Unknown network attack,Medium,Confidentiality,Script kiddie or Hacker
Yes,Small,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,,Low,Confidentiality,Unknown
Yes,,High,No,No,Yes,No,Yes,Missing,Misuse of resources,External,,Medium,Confidentiality,Unknown
Yes,,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,,,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,,,Yes,Missing,Installed malware,External,,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,49000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Medium-High,No,No,No,No,No,Missing,,External,,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,No,Yes,20000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Medium-High,No,No,Yes,No,Yes,880000,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low-Medium,No,No,Yes,No,Yes,34000,Installed malware,External,,Medium,Confidentiality,Unknown
Yes,,Low-Medium,No,No,No,No,No,15000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Medium,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Medium,Medium-High,No,No,Yes,Yes,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
No,Medium,High,No,No,Yes,Yes,Yes,Missing,,External,,High,Confidentiality,Unknown
No,,Medium-High,No,No,Yes,Yes,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,,High,No,No,Yes,Yes,Yes,Missing,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low,No,No,No,No,Yes,7000000,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,No,No,No,No,Yes,8300,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,Yes,No,Yes,266123,Installed malware,External,Unknown network attack,High,Availability,Cybercriminal group
Yes,Large,Low-Medium,No,No,No,No,No,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,High,Yes,No,,,,Missing,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,No,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Medium,Medium-High,Yes,No,,,,Missing,Installed malware,External,,Low,Confidentiality,Cybercriminal group
Yes,Medium,Low-Medium,No,No,Yes,No,Yes,40000,,External,,Medium,Confidentiality,Unknown
Yes,Medium,Low,No,No,,No,Yes,Missing,,External,,High,Confidentiality,Unknown
No,Medium,Medium-High,No,No,No,No,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Medium,High,No,No,,,Yes,Missing,Installed malware,External,,High,Confidentiality,Unknown
No,Small,Medium-High,No,No,,,,300000,,External,,High,Confidentiality,Unknown
Yes,Medium,High,No,No,,No,Yes,Missing,,External,,Low,Confidentiality,Unknown
Yes,Small,High,No,No,No,No,No,Missing,,External,Vendor vulnerability,Medium,Confidentiality,Third-party
Yes,Medium,High,No,No,Yes,No,Yes,233000,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low,No,No,,Yes,,Missing,,External,,High,Confidentiality,Unknown
Yes,Medium,Low,No,No,,,,Missing,,External,,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,Yes,No,Yes,531000,,External,,Medium,Confidentiality,Unknown
Yes,,Low-Medium,No,No,Yes,No,Yes,Missing,,External,Vendor vulnerability,Medium,Confidentiality,Unknown
No,,High,No,No,No,No,,Missing,Misuse of resources,Internal,Physical device,High,Confidentiality,Unknown
Yes,Large,Low,No,No,Yes,,,Missing,Installed malware,External,,Low,Confidentiality,Unknown
No,Large,Low-Medium,Yes,No,No,No,Yes,8300,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,,,,Missing,,External,Vendor vulnerability,Low,Confidentiality,Third-party
Yes,,Medium-High,No,No,,No,Yes,800000,,External,,Medium,Confidentiality,Unknown
Yes,Large,High,No,No,Yes,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,High,No,No,,,,Missing,Installed malware,External,Social engineering,Low,Confidentiality,Cybercriminal group
No,Large,Medium-High,No,No,No,No,No,Missing,Physical Theft,External,Vendor vulnerability,Low,Confidentiality,Insider or Physical theft
No,,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Insider or Physical theft
Yes,,High,No,No,Yes,,Yes,1000000,,External,,Low,Confidentiality,Unknown
No,,Low-Medium,No,No,,,,Missing,,External,,Medium,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,No,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Medium-High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Medium,High,No,No,,,,Missing,,External,,Medium,Confidentiality,Unknown
Yes,Small,Low,No,No,,,,Missing,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low,Yes,No,Yes,No,Yes,Missing,Installed malware,External,Unknown network attack,High,Availability,Cybercriminal group
Yes,Large,High,No,No,Yes,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,Low,No,No,,,,60000,,External,,High,Confidentiality,Unknown
Yes,,High,No,No,Yes,No,Yes,Missing,Installed malware,External,,Medium,Confidentiality,Cybercriminal group
No,Medium,Medium-High,No,No,,,,Missing,,External,,High,Confidentiality,Unknown
No,,Medium-High,No,No,,,,Missing,,External,,High,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,Yes,No,Yes,10000,Installed malware,External,,High,Availability,Cybercriminal group
No,Medium,Medium-High,No,No,,,,117000,,External,,Low,Confidentiality,Unknown
No,Small,Medium-High,No,No,Yes,No,Yes,Missing,Installed malware,External,,Medium,Confidentiality,Cybercriminal group
Yes,,Medium-High,No,No,No,No,Yes,715000,,External,,High,Confidentiality,Unknown
No,Large,High,No,No,,,Yes,11000000,,External,,High,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,No,Missing,Web compromise,External,Social engineering,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,,No,Yes,9988,,External,,High,Confidentiality,Unknown
No,,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,,Low,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,Yes,No,Yes,13237,Installed malware,External,,High,Availability,Cybercriminal group
Yes,Small,Low-Medium,No,No,,,,23015,Misuse of resources,External,Vendor vulnerability,High,Confidentiality,Third-party
Yes,Large,Low-Medium,No,No,No,No,Yes,122000,,External,Vendor vulnerability,Medium,Confidentiality,Script kiddie or Hacker
Yes,,Low-Medium,No,No,No,No,No,365000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,No,Missing,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Insider or Physical theft
No,Large,Low,No,No,,,,16000,Physical Theft,External,Physical device,High,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,,,,10000,,External,Insufficient input validation,High,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,No,,7000,,External,Unknown network attack,Medium,Confidentiality,Script kiddie or Hacker
Yes,Medium,Low-Medium,No,No,Yes,No,Yes,10143,Installed malware,External,,High,Availability,Cybercriminal group
Yes,Large,High,Yes,No,,,Yes,465437,,External,,High,Confidentiality,Unknown
No,Medium,Medium-High,No,No,,No,Yes,Missing,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Cybercriminal group
Yes,Large,Low-Medium,No,No,,,Yes,34000,,External,,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,Yes,12000000,Misuse of resources,External,Vendor vulnerability,Low,Confidentiality,Unknown
Yes,Small,Low-Medium,Yes,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,Medium-High,No,No,,,Yes,100000000,,External,Unknown network attack,Low,Confidentiality,Unknown
Yes,Small,High,No,No,,No,Yes,Missing,Web compromise,External,Vendor vulnerability,Medium,Confidentiality,Third-party
Yes,,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Large,Low,Yes,No,,No,Yes,Missing,,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Medium,Medium-High,No,No,No,No,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Cybercriminal group
Yes,Large,High,No,No,,,,1500000,,External,,High,Confidentiality,Unknown
Yes,Medium,Low,No,No,No,No,Yes,Missing,,External,,Medium,Confidentiality,Unknown
No,Large,Medium-High,No,No,,,No,Missing,,External,Insufficient authentication validation,Medium,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,Yes,No,Yes,Missing,Installed malware,External,Unknown network attack,Medium,Confidentiality,Cybercriminal group
No,Medium,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Cybercriminal group
Yes,Large,Low-Medium,No,No,,,Yes,21000,,External,Social engineering,Medium,Confidentiality,Phisher
No,Medium,Low-Medium,No,No,,,Yes,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
No,Large,High,No,No,No,No,Yes,56000,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,,High,No,No,,No,Yes,Missing,,External,,Low,Confidentiality,Unknown
Yes,Large,Low,No,No,,No,,Missing,,External,,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,,Low,No,No,No,No,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,Yes,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Large,Low,No,No,,,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Medium-High,No,No,No,No,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,,,,5000,Misuse of resources,External,,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Medium,High,No,No,,,Yes,32000000,,External,,Medium,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,,,Yes,6781,Misuse of resources,External,Social engineering,Medium,Confidentiality,Script kiddie or Hacker
No,Large,Medium-High,Yes,No,,,Yes,300000,,External,,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,Yes,Missing,,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,Low,No,No,,,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
No,Large,Low,Yes,No,,,Yes,Missing,Misuse of resources,External,Vendor vulnerability,High,Confidentiality,Script kiddie or Hacker
No,Large,Medium-High,No,No,Yes,No,Yes,60000000,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,Yes,No,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Small,Low,No,No,,No,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
No,Large,High,No,No,Yes,No,Yes,Missing,Installed malware,External,Social engineering,Low,Confidentiality,Unknown
Yes,Large,High,No,No,,,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Large,High,No,No,Yes,,Yes,Missing,,External,Vendor vulnerability,High,Confidentiality,Script kiddie or Hacker
Yes,Large,Low-Medium,No,No,,,Yes,14177,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,Low-Medium,No,No,Yes,No,Yes,135000,,External,,High,Confidentiality,Unknown
Yes,Large,High,No,No,,,Yes,Missing,Misuse of resources,External,Insufficient authentication validation,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,Yes,24967,,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,Low-Medium,Yes,No,Yes,No,Yes,107000,Installed malware,External,,Medium,Confidentiality,Cybercriminal group
Yes,Medium,Low-Medium,No,No,,,,128000,,External,,Medium,Confidentiality,Unknown
No,Large,Medium-High,No,No,No,No,Yes,5000000,,External,,High,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,No,Yes,25000,Installed malware,External,,Medium,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,Yes,No,Yes,77000,Installed malware,External,,High,Availability,Cybercriminal group
No,Large,Medium-High,No,No,Yes,No,Yes,26000,,External,,High,Confidentiality,Unknown
No,Large,Medium-High,No,No,No,No,Yes,260000,,External,,High,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Large,Low-Medium,No,No,,,Yes,12500,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Large,Low,No,No,Yes,No,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,Yes,No,,Yes,Yes,87000,,External,,Medium,Confidentiality,Unknown
Yes,Large,Medium-High,Yes,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low,No,No,,No,Yes,2400000,,External,,High,Confidentiality,Unknown
No,Large,Medium-High,No,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,,Low-Medium,No,No,,,,Missing,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Script kiddie or Hacker
Yes,Large,High,No,No,,,,4600000,,External,,Low,Confidentiality,Unknown
